latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
20.07521,105.91302,332.15,0.5,0.41,2021-07-21,624,N,VIIRS,n,2,294.72,6.8,D,2
20.51746,105.39948,334.91,0.47,0.4,2021-07-21,624,N,VIIRS,n,2,292.64,4.49,D,0
21.61007,106.99629,336.94,0.4,0.44,2021-07-21,624,N,VIIRS,n,2,284.39,14.32,D,0
21.61051,107.00005,341.45,0.4,0.44,2021-07-21,624,N,VIIRS,n,2,283.38,14.32,D,0
20.9776,106.7174,296.53,0.4,0.44,2021-07-21,1853,N,VIIRS,n,2,266.63,0.34,N,0
15.15656,100.71495,327.69,0.52,0.5,2021-07-22,604,N,VIIRS,n,2,283.57,6.08,D,0
22.48272,107.39359,306.34,0.47,0.4,2021-07-23,1815,N,VIIRS,n,2,291.85,0.78,N,2
21.01203,106.54055,306.04,0.5,0.41,2021-07-23,1816,N,VIIRS,n,2,289.11,2.99,N,2
22.27125,104.74561,330.69,0.73,0.76,2021-07-24,709,N,VIIRS,n,2,283.31,8.45,D,0
22.27505,104.74043,340.55,0.73,0.76,2021-07-24,709,N,VIIRS,n,2,285.7,9.61,D,0
18.94,105.35119,313.22,0.36,0.58,2021-07-24,1757,N,VIIRS,n,2,290.15,1.18,N,2
19.27273,105.70525,310.56,0.35,0.57,2021-07-24,1757,N,VIIRS,n,2,289.96,1.03,N,2
19.33304,105.78777,321.46,0.35,0.56,2021-07-24,1757,N,VIIRS,n,2,289.26,1.71,N,2
19.33325,105.78791,321.28,0.35,0.56,2021-07-24,1757,N,VIIRS,n,2,289.21,1.59,N,2
20.34809,105.91364,304.76,0.35,0.57,2021-07-24,1757,N,VIIRS,n,2,289.36,1.5,N,2
20.40242,105.89962,310.3,0.35,0.57,2021-07-24,1757,N,VIIRS,n,2,286.38,1.03,N,2
20.4077,105.90012,310,0.35,0.57,2021-07-24,1757,N,VIIRS,n,2,286,1.03,N,2
20.53284,105.86572,299.84,0.35,0.57,2021-07-24,1757,N,VIIRS,n,2,275.48,0.38,N,0
21.01535,106.53464,305.7,0.32,0.55,2021-07-24,1757,N,VIIRS,n,2,290.39,1.82,N,2
21.0405,106.58894,310.4,0.32,0.55,2021-07-24,1757,N,VIIRS,n,2,291.75,1.76,N,2
21.27469,105.63482,338.62,0.37,0.58,2021-07-24,1757,N,VIIRS,n,2,286.09,4.61,N,0
