model,data_split,threshold_ugm3,true_positive,false_negative,false_positive,true_negative,recall,precision,specificity,f1
PERSISTENCE,TEST,37.5,379,66,63,1904,0.851685393258427,0.8574660633484162,0.9679715302491103,0.8545659526493798
RF_NO_HOTSPOTS,TEST,37.5,393,52,66,1901,0.8831460674157303,0.8562091503267973,0.9664463650228775,0.8694690265486725
RF_WITH_HOTSPOTS,TEST,37.5,391,54,67,1900,0.8786516853932584,0.8537117903930131,0.9659379766141332,0.8660022148394242
SELECTED_RF,TEST,37.5,391,54,67,1900,0.8786516853932584,0.8537117903930131,0.9659379766141332,0.8660022148394242
