province_key,province_name_en,season,n_rows,mae,mean_residual_observed_minus_predicted,rmse
50,Chiang Mai,COOL,90,3.4237520846419325,-0.6928698925347294,4.652277264760124
50,Chiang Mai,HOT,92,6.983330631597394,-2.964785107640929,9.46965017463801
50,Chiang Mai,RAINY,153,2.419586485489523,-0.4517419327799008,3.0650550284473614
51,Lamphun,COOL,90,3.6499961789026254,-0.10282797088235686,4.801872211302078
51,Lamphun,HOT,92,6.813328955210335,-1.8097999359340435,9.229219707790223
51,Lamphun,RAINY,153,3.135424662442399,0.3411550045254712,4.135781523664408
52,Lampang,COOL,92,4.309999106109955,-1.1511004920116081,5.637303005523073
52,Lampang,HOT,92,8.584568715059625,-3.5405985211752182,13.64826110356084
52,Lampang,RAINY,153,2.993525936305631,-0.8926761443869986,3.975729141950719
54,Phrae,COOL,90,3.302416618124393,-1.7204240684897663,4.522622948246691
54,Phrae,HOT,66,5.200127148984719,-2.3392470388289492,7.570964847650402
54,Phrae,RAINY,78,1.85566257407111,-0.08037260760311071,2.7827483642519866
55,Nan,COOL,90,4.142104628597424,-0.35335950944397104,6.011197373144381
55,Nan,HOT,92,8.474525907956933,-0.9552756251147628,11.45820286859353
55,Nan,RAINY,153,2.3776647204422114,-0.9172252279526215,3.020893895705273
56,Phayao,COOL,66,3.431586836404731,-0.695471284621733,5.376453472315815
56,Phayao,HOT,55,6.571692616966442,-0.8947772811791566,9.489469475093776
56,Phayao,RAINY,62,1.2094951655788926,-0.204472282993827,1.5877595862521514
57,Chiang Rai,COOL,90,3.95524359378242,-0.6905223388490904,5.133791911512055
57,Chiang Rai,HOT,75,7.437150010158822,0.3525201316860859,11.004667989138039
57,Chiang Rai,RAINY,153,2.8301045553739534,-0.41281725543332226,3.6284666513398762
58,Mae Hong Son,COOL,90,3.304416115195627,-0.8925289093824097,4.220179388798495
58,Mae Hong Son,HOT,92,12.814206608244602,1.418706857310475,21.79115602852203
58,Mae Hong Son,RAINY,153,2.298183321107119,-1.1103099416008941,3.202585442806419
