summary_level,province_key,province_name_en,year_ce,paired_n,observed_mean_ugm3,modeled_mean_ugm3,mean_bias_modeled_minus_observed_ugm3,mae_ugm3,rmse_ugm3,pearson_r,spearman_rho
OVERALL,ALL,All provinces,ALL,7379,28.28516560509554,16.21025701580266,-12.07490858929288,14.579433977982033,27.313859586701373,0.7050721956546626,0.7309948270353748
PROVINCE_YEAR,50,Chiang Mai,2021,0,,,,,,,
PROVINCE_YEAR,50,Chiang Mai,2022,138,16.792572463768117,21.33935066780335,4.5467782040352365,6.853324097755045,8.60777170653502,0.5857953924953025,0.6921387360234382
PROVINCE_YEAR,50,Chiang Mai,2023,245,30.593551020408164,19.84108843537415,-10.752462585034012,15.234673469387756,31.320903848657135,0.764613975722539,0.8201130616274434
PROVINCE_YEAR,50,Chiang Mai,2024,358,34.20093575418994,19.769087523277467,-14.431848230912475,17.256145251396646,30.85436802631903,0.7134167820231785,0.7911275817208401
PROVINCE_YEAR,50,Chiang Mai,2025,348,22.359971264367815,22.80908764367816,0.44911637931034487,7.9841115900383155,11.115316165465268,0.8522706531914668,0.856598027751025
PROVINCE_YEAR,51,Lamphun,2021,0,,,,,,,
PROVINCE_YEAR,51,Lamphun,2022,137,17.3557299270073,14.932428080721339,-2.42330184628596,5.610601116358953,7.930207018361193,0.6868625529496083,0.7489472623656384
PROVINCE_YEAR,51,Lamphun,2023,141,40.093333333333334,18.56604609929078,-21.527287234042554,22.711802600472815,36.3422449521075,0.7468176973968771,0.7639969862065074
PROVINCE_YEAR,51,Lamphun,2024,355,30.07204225352113,16.1075117370892,-13.964530516431926,14.6711220657277,20.913187260033784,0.855750975032973,0.8639362377532082
PROVINCE_YEAR,51,Lamphun,2025,348,25.265704022988505,17.188613505747124,-8.07709051724138,9.302540708812261,14.08217007377307,0.8395039090038467,0.8303477928224747
PROVINCE_YEAR,52,Lampang,2021,0,,,,,,,
PROVINCE_YEAR,52,Lampang,2022,138,12.454202898550726,15.90168016481955,3.4474772662688262,5.3852429667519175,7.322461648834315,0.5168050703695494,0.6502588574087599
PROVINCE_YEAR,52,Lampang,2023,244,26.685094262295085,14.575341530054644,-12.109752732240436,14.069892076502732,22.524148171304862,0.7886354627300611,0.6800814103835368
PROVINCE_YEAR,52,Lampang,2024,358,30.52300279329609,15.31615456238361,-15.206848230912476,16.24412942271881,25.448000292017205,0.8087760104538867,0.852428371296135
