province_key,province_name_en,year_ce,observed_days,applicable_threshold_days,applicable_exceedance_days,fixed_37_5_exceedance_days,annual_pm25_mean_ugm3,annual_pm25_median_ugm3,applicable_exceedance_pct,fixed_37_5_exceedance_pct
50,Chiang Mai,2021,148,148,0,0,15.055743243243244,13.075,0.0,0.0
50,Chiang Mai,2022,328,328,18,34,20.12163109756098,16.1,5.487804878048781,10.365853658536585
50,Chiang Mai,2023,245,245,41,55,30.593551020408164,18.15,16.73469387755102,22.448979591836736
50,Chiang Mai,2024,358,358,108,108,34.20093575418994,26.075,30.16759776536313,30.16759776536313
50,Chiang Mai,2025,348,348,62,62,22.359971264367818,14.95,17.816091954022987,17.816091954022987
51,Lamphun,2021,141,141,0,2,15.387375886524822,12.3,0.0,1.4184397163120568
51,Lamphun,2022,326,326,17,43,21.210812883435583,16.799999999999997,5.214723926380368,13.190184049079754
51,Lamphun,2023,141,141,39,52,40.093333333333334,29.7,27.659574468085108,36.87943262411348
51,Lamphun,2024,355,355,121,121,30.07204225352113,25.8,34.08450704225352,34.08450704225352
51,Lamphun,2025,348,348,72,72,25.265704022988505,19.8,20.689655172413794,20.689655172413794
52,Lampang,2021,150,150,0,0,13.445366666666667,10.857500000000002,0.0,0.0
52,Lampang,2022,328,328,12,30,18.11885670731707,13.35,3.658536585365854,9.146341463414634
52,Lampang,2023,244,244,39,49,26.685094262295085,18.25,15.98360655737705,20.081967213114755
52,Lampang,2024,358,358,114,114,30.52300279329609,26.3,31.843575418994412,31.843575418994412
52,Lampang,2025,351,351,62,62,22.188444444444446,15.1,17.663817663817664,17.663817663817664
54,Phrae,2021,147,147,0,5,16.707074829931972,12.95,0.0,3.401360544217687
54,Phrae,2022,325,325,20,51,22.68470769230769,17.45,6.153846153846154,15.692307692307692
54,Phrae,2023,90,90,30,44,41.461222222222226,37.25,33.333333333333336,48.888888888888886
54,Phrae,2024,231,231,83,83,29.082640692640695,20.8,35.93073593073593,35.93073593073593
54,Phrae,2025,275,275,46,46,20.78125090909091,13.1,16.727272727272727,16.727272727272727
55,Nan,2021,147,147,0,2,18.194013605442176,16.6,0.0,1.3605442176870748
55,Nan,2022,311,311,21,64,27.312926045016077,23.3,6.752411575562701,20.578778135048232
55,Nan,2023,84,84,37,52,59.792857142857144,45.150000000000006,44.04761904761905,61.904761904761905
55,Nan,2024,332,332,98,98,31.50189307228916,26.5225,29.518072289156628,29.518072289156628
55,Nan,2025,348,348,76,76,24.039091954022986,13.4,21.839080459770116,21.839080459770116
56,Phayao,2021,145,145,0,8,15.418758620689653,11.3,0.0,5.517241379310345
56,Phayao,2022,307,307,16,34,20.112117263843647,16.0,5.2117263843648205,11.074918566775244
56,Phayao,2023,73,73,24,36,56.42739726027397,37.5,32.87671232876713,49.31506849315068
56,Phayao,2024,187,187,72,72,35.508716577540106,24.3,38.50267379679144,38.50267379679144
56,Phayao,2025,220,220,51,51,25.772045454545456,17.3,23.181818181818183,23.181818181818183
57,Chiang Rai,2021,148,148,0,2,14.83608108108108,11.780000000000001,0.0,1.3513513513513513
57,Chiang Rai,2022,328,328,11,40,21.095640243902437,17.15,3.3536585365853657,12.195121951219512
57,Chiang Rai,2023,88,88,28,41,76.33420454545454,35.575,31.818181818181817,46.59090909090909
57,Chiang Rai,2024,338,338,84,84,31.17474852071006,25.125,24.85207100591716,24.85207100591716
57,Chiang Rai,2025,334,334,58,58,23.519035928143712,15.25,17.365269461077844,17.365269461077844
58,Mae Hong Son,2021,141,141,0,0,10.553900709219857,9.5,0.0,0.0
58,Mae Hong Son,2022,328,328,33,46,21.396250000000002,12.3,10.060975609756097,14.024390243902438
58,Mae Hong Son,2023,245,245,63,72,42.00983673469388,23.2,25.714285714285715,29.387755102040817
58,Mae Hong Son,2024,358,358,89,89,34.644930167597764,19.825,24.860335195530727,24.860335195530727
58,Mae Hong Son,2025,348,348,66,66,24.421783045977012,13.6,18.96551724137931,18.96551724137931
