latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
10.13083,105.17167,329.88,0.39,0.36,2025-06-25,617,N,VIIRS,n,2,292.09,1.57,D,0
11.08237,105.15784,332.15,0.39,0.36,2025-06-25,617,N,VIIRS,n,2,296.39,2.48,D,0
11.20707,105.10872,343.06,0.39,0.36,2025-06-25,617,N,VIIRS,n,2,300.18,12.09,D,0
11.58236,104.15573,349.63,0.4,0.37,2025-06-25,617,N,VIIRS,n,2,299.75,9.79,D,0
11.79895,104.80201,333.1,0.39,0.36,2025-06-25,617,N,VIIRS,n,2,294.93,1.92,D,0
12.2875,105.20678,338.24,0.38,0.36,2025-06-25,617,N,VIIRS,n,2,298.41,3.13,D,0
12.29081,105.20625,330.59,0.38,0.36,2025-06-25,617,N,VIIRS,n,2,299.85,3.73,D,0
13.17771,104.5526,341.29,0.39,0.36,2025-06-25,617,N,VIIRS,n,2,296.38,4.54,D,0
14.91067,99.855,331.51,0.57,0.43,2025-06-25,618,N,VIIRS,n,2,289.78,3.57,D,0
14.94019,99.24365,332.49,0.41,0.45,2025-06-25,618,N,VIIRS,n,2,295.27,5.53,D,0
14.94222,99.25513,343.35,0.41,0.45,2025-06-25,618,N,VIIRS,n,2,290.25,9.34,D,0
15.42966,99.65457,330.27,0.57,0.43,2025-06-25,618,N,VIIRS,n,2,288.75,4.17,D,0
19.19662,105.4741,333.81,0.4,0.37,2025-06-25,619,N,VIIRS,n,2,293.91,4.03,D,0
19.2142,105.2289,336.46,0.4,0.37,2025-06-25,619,N,VIIRS,n,2,297.14,2.8,D,0
19.27373,105.42684,334.65,0.4,0.37,2025-06-25,619,N,VIIRS,n,2,293.08,8.33,D,0
19.33246,104.23444,351.79,0.39,0.36,2025-06-25,619,N,VIIRS,n,2,299.05,68.42,D,0
19.33302,104.23816,338.1,0.39,0.36,2025-06-25,619,N,VIIRS,n,2,299.65,31.26,D,0
19.38085,104.67554,330.06,0.39,0.36,2025-06-25,619,N,VIIRS,n,2,298.43,12.97,D,0
19.38972,104.68937,342.31,0.39,0.36,2025-06-25,619,N,VIIRS,n,2,300.55,8.45,D,0
19.42442,105.38692,334.39,0.4,0.37,2025-06-25,619,N,VIIRS,n,2,299.2,4.47,D,0
18.16945,103.61781,305.8,0.4,0.37,2025-06-25,1850,N,VIIRS,n,2,289.2,0.88,N,0
18.53785,100.14832,306.8,0.41,0.37,2025-06-25,1850,N,VIIRS,n,2,288.49,0.72,N,0
14.64698,101.03909,306.57,0.38,0.36,2025-06-25,1851,N,VIIRS,n,2,277.53,1.54,N,2
11.83138,104.08131,334.22,0.46,0.47,2025-06-26,558,N,VIIRS,n,2,290.31,4.08,D,0
12.27851,103.10292,331.27,0.52,0.5,2025-06-26,558,N,VIIRS,n,2,291.25,4.56,D,0
12.67897,105.38813,328.35,0.55,0.43,2025-06-26,558,N,VIIRS,n,2,287.53,4.48,D,0
17.17302,99.96003,329.02,0.34,0.56,2025-06-26,600,N,VIIRS,n,2,288.14,1.43,D,0
18.343,100.17013,328.68,0.63,0.54,2025-06-26,600,N,VIIRS,n,2,289.47,4.92,D,0
18.57252,100.824,329.29,0.56,0.52,2025-06-26,600,N,VIIRS,n,2,290.73,3.73,D,0
19.28283,104.38598,334.57,0.5,0.41,2025-06-26,600,N,VIIRS,n,2,291.88,4.74,D,0
19.31715,104.25223,345.51,0.51,0.41,2025-06-26,600,N,VIIRS,n,2,290.09,8.93,D,0
20.14469,105.0659,346.6,0.46,0.39,2025-06-26,600,N,VIIRS,n,2,294.01,13.43,D,0
20.14827,105.0652,345.02,0.46,0.39,2025-06-26,600,N,VIIRS,n,2,294.85,13.43,D,0
19.54694,99.3341,367,0.34,0.56,2025-06-26,601,N,VIIRS,h,2,291.33,10.18,D,0
10.27298,104.61939,299.2,0.38,0.36,2025-06-26,1833,N,VIIRS,n,2,277.42,0.54,N,2
