latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
5.64584,104.97758,330.25,0.4,0.44,2023-04-07,603,N,VIIRS,n,2,293.99,2.5,D,3
5.64696,104.97807,330.44,0.4,0.44,2023-04-07,603,N,VIIRS,n,2,294.35,2.45,D,3
9.39175,105.53377,331.96,0.5,0.41,2023-04-07,604,N,VIIRS,l,2,300.17,7.83,D,0
9.87643,105.37717,342.36,0.5,0.41,2023-04-07,604,N,VIIRS,n,2,297.6,9.21,D,0
10.01739,105.10611,330.92,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,297.14,3.91,D,0
10.12246,104.89693,335.24,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,299.82,3.7,D,0
10.12352,105.0908,337.31,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,294.98,7.1,D,0
10.13844,104.87455,339.92,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,298.35,4.77,D,0
10.14319,104.90327,338.02,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,298.06,5.32,D,0
10.15016,104.92168,348.12,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,299.72,13.61,D,0
10.15606,105.07574,336.95,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,295.45,6.37,D,0
10.16061,105.07977,343.98,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,293.74,6.37,D,0
10.16553,104.94353,335.87,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,300.09,5.98,D,0
10.17097,104.97668,340.49,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,297.12,5.7,D,0
10.17931,104.95582,340.61,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,298.81,8.31,D,0
10.18092,104.95238,332.79,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,297.19,4.17,D,0
10.18172,104.95711,335.99,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,298.23,8.57,D,0
10.18394,104.98421,333.01,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,294.43,1.39,D,0
10.18653,104.98542,330.33,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,291.65,2.62,D,0
10.18716,105.09925,340.84,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,291.34,6.05,D,0
10.19335,104.97943,331.4,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,292.72,15.26,D,0
10.19459,104.97755,348.35,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,293.72,11.37,D,0
10.19701,105.13573,335.85,0.51,0.41,2023-04-07,604,N,VIIRS,l,2,292.36,6.66,D,0
10.19839,104.9397,330.64,0.52,0.42,2023-04-07,604,N,VIIRS,n,2,294.13,1.83,D,0
10.20078,105.13511,337.73,0.51,0.41,2023-04-07,604,N,VIIRS,l,2,294.23,6.66,D,0
10.20158,104.95863,337.16,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,294.18,4.56,D,0
10.2038,105.12984,336.68,0.51,0.41,2023-04-07,604,N,VIIRS,l,2,292.47,5.05,D,0
10.21872,105.15253,333.26,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,292.82,5.01,D,0
10.21888,105.15107,334.3,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,293.53,5.52,D,0
10.25953,104.95374,335.91,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,295.74,10.05,D,0
10.27644,105.00896,330.63,0.52,0.41,2023-04-07,604,N,VIIRS,n,2,295.9,4.49,D,0
10.28727,105.12205,332.96,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,298.83,5.11,D,0
10.29557,105.1254,331.1,0.51,0.41,2023-04-07,604,N,VIIRS,l,2,299.62,8.39,D,0
10.29879,104.72737,330.75,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.06,3.01,D,0
10.30427,104.73643,340.34,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,298,6.7,D,0
10.30913,105.0898,340.48,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,299.89,7.12,D,0
10.31347,105.04776,342.68,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,298.45,5.34,D,0
10.31583,105.06173,342.28,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,299.94,6.28,D,0
10.31669,105.06464,335.17,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,300.85,5.08,D,0
10.32517,104.74287,338.12,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,297.58,4.1,D,0
10.33126,104.73185,348.5,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.27,12.18,D,0
10.34603,104.7493,338.73,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,298.13,6.41,D,0
10.34657,105.1752,337.06,0.5,0.41,2023-04-07,604,N,VIIRS,l,2,297.67,5.41,D,0
10.36664,104.70586,331.44,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,297.3,5.91,D,0
10.36685,104.70283,345.1,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,298.95,5.64,D,0
10.36756,104.73568,344.63,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.04,8.17,D,0
10.36795,104.73259,334.82,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.02,6.86,D,0
10.36993,104.75021,330.83,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,297.5,3.35,D,0
10.37125,104.75194,331.94,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,296.21,3.13,D,0
10.39903,105.04772,337.9,0.51,0.41,2023-04-07,604,N,VIIRS,n,2,297.68,3.1,D,0
10.41075,104.77502,352.55,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,301.24,26.19,D,0
10.41459,104.77438,335.01,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,297.9,3.62,D,0
10.4152,104.75444,348.94,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,300.52,19.83,D,0
10.41763,104.67417,340.22,0.54,0.42,2023-04-07,604,N,VIIRS,n,2,301.44,5.4,D,0
10.41905,104.65887,337.75,0.54,0.42,2023-04-07,604,N,VIIRS,n,2,300.8,6.4,D,0
10.43012,104.79646,334.75,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,298.71,10.36,D,0
10.44578,104.60387,335.03,0.54,0.42,2023-04-07,604,N,VIIRS,n,2,298.25,6.87,D,0
10.44966,104.6032,339.57,0.54,0.42,2023-04-07,604,N,VIIRS,n,2,297.88,4.81,D,0
10.47488,104.74639,341.52,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.64,7.54,D,0
10.4757,104.75121,343.23,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,299.25,7.54,D,0
10.47751,104.74882,355.39,0.53,0.42,2023-04-07,604,N,VIIRS,n,2,300.13,14.58,D,0
10.49844,105.20741,330.04,0.5,0.41,2023-04-07,604,N,VIIRS,l,2,301.33,6.43,D,0
10.5224,105.16588,343.22,0.5,0.41,2023-04-07,604,N,VIIRS,l,2,301.8,7.86,D,0
10.53665,105.15878,342.89,0.5,0.41,2023-04-07,604,N,VIIRS,n,2,299.68,5.2,D,0
10.60062,105.44473,331.89,0.48,0.4,2023-04-07,604,N,VIIRS,l,2,300.25,5.36,D,0
10.64598,105.02595,336.97,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,303.72,10.85,D,0
10.64897,105.02068,348.63,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,304.31,13.65,D,0
10.70566,105.0586,332.17,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,302.82,4.39,D,0
10.75443,105.16792,332.04,0.5,0.41,2023-04-07,605,N,VIIRS,l,2,301.44,5.99,D,0
10.78179,104.95699,337.74,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,304.2,6.6,D,0
10.78257,104.96163,337.36,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,304.21,9.25,D,0
10.7942,105.05477,332.31,0.5,0.41,2023-04-07,605,N,VIIRS,l,2,299.61,4.54,D,0
10.79795,105.05414,338.32,0.5,0.41,2023-04-07,605,N,VIIRS,l,2,301.79,4.54,D,0
10.80913,105.00482,336.36,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,303.69,6.31,D,0
10.83909,105.00118,331.18,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,301.9,6.09,D,0
10.83927,104.9997,330.25,0.51,0.41,2023-04-07,605,N,VIIRS,l,2,302.24,5.61,D,0
10.84454,98.6596,352.09,0.43,0.62,2023-04-07,605,N,VIIRS,n,2,291.84,6.05,D,0
10.84455,105.05569,334.97,0.5,0.41,2023-04-07,605,N,VIIRS,l,2,302.57,6.85,D,0
10.8502,98.65837,353.64,0.43,0.62,2023-04-07,605,N,VIIRS,n,2,291.44,8.63,D,0
10.89942,105.35786,330.43,0.48,0.4,2023-04-07,605,N,VIIRS,l,2,303.17,3.25,D,0
10.92163,104.17216,341.86,0.56,0.43,2023-04-07,605,N,VIIRS,n,2,295.44,7.24,D,0
10.92371,104.1737,346.31,0.56,0.43,2023-04-07,605,N,VIIRS,n,2,294.03,15.47,D,0
10.92558,104.17149,336.72,0.56,0.43,2023-04-07,605,N,VIIRS,n,2,294.94,7.24,D,0
10.95331,104.8736,334.9,0.51,0.41,2023-04-07,605,N,VIIRS,n,2,300.96,3.49,D,0
10.96271,103.14542,335.48,0.43,0.46,2023-04-07,605,N,VIIRS,n,2,298.53,16.05,D,0
10.96341,103.14937,341.09,0.43,0.46,2023-04-07,605,N,VIIRS,n,2,295.49,16.05,D,0
10.96345,103.14525,340.11,0.43,0.46,2023-04-07,605,N,VIIRS,n,2,298.11,14.52,D,0
10.96412,103.14919,340.58,0.43,0.46,2023-04-07,605,N,VIIRS,n,2,296.29,14.52,D,0
11.1459,103.42344,341.38,0.41,0.45,2023-04-07,605,N,VIIRS,n,2,295.75,4.51,D,0
11.19672,103.59467,346.65,0.4,0.44,2023-04-07,605,N,VIIRS,n,2,296.27,7.8,D,0
11.19735,103.59834,349.88,0.4,0.44,2023-04-07,605,N,VIIRS,n,2,298.33,16.64,D,0
11.22365,99.00855,367,0.4,0.6,2023-04-07,605,N,VIIRS,h,2,292.51,17.23,D,0
11.22917,99.00751,332.02,0.4,0.6,2023-04-07,605,N,VIIRS,n,2,291.42,3.8,D,0
11.23791,105.16344,341.39,0.49,0.4,2023-04-07,605,N,VIIRS,n,2,300.33,7.63,D,0
11.39068,104.64194,334.8,0.52,0.42,2023-04-07,605,N,VIIRS,n,2,300.78,4.86,D,0
11.45721,105.20222,333.62,0.49,0.4,2023-04-07,605,N,VIIRS,l,2,301,6.37,D,0
11.47046,105.25903,335.2,0.48,0.4,2023-04-07,605,N,VIIRS,l,2,302.64,6.46,D,0
11.54683,105.16074,332.39,0.49,0.4,2023-04-07,605,N,VIIRS,n,2,300.15,2.7,D,0
11.9986,102.78043,334.64,0.44,0.46,2023-04-07,605,N,VIIRS,n,2,294.33,3.59,D,0
12.05701,103.83453,351.69,0.57,0.43,2023-04-07,605,N,VIIRS,n,2,299.28,14.33,D,0
12.05904,103.83148,340.38,0.57,0.43,2023-04-07,605,N,VIIRS,n,2,298.49,9.76,D,0
12.05995,103.83668,351.57,0.57,0.43,2023-04-07,605,N,VIIRS,n,2,298.5,17.35,D,0
12.06095,103.83369,353.53,0.57,0.43,2023-04-07,605,N,VIIRS,n,2,297.9,14.07,D,0
12.13583,105.50797,331.99,0.46,0.39,2023-04-07,605,N,VIIRS,l,2,300.6,3.37,D,0
12.15028,103.88829,336.35,0.56,0.43,2023-04-07,605,N,VIIRS,n,2,298.82,4.52,D,0
12.18084,99.38388,330.33,0.37,0.58,2023-04-07,605,N,VIIRS,n,2,292.63,5.66,D,0
12.18143,99.387,357.57,0.36,0.58,2023-04-07,605,N,VIIRS,n,2,292.95,9.8,D,0
12.26447,104.27716,339.13,0.53,0.42,2023-04-07,605,N,VIIRS,n,2,302.73,4.13,D,0
12.27209,103.5494,346.84,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,302.01,11.78,D,0
12.27332,103.55649,367,0.39,0.44,2023-04-07,605,N,VIIRS,h,2,301.58,9.64,D,0
12.27731,103.55563,355.71,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,299.69,9.64,D,0
12.28891,103.5267,334.12,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,299.24,2.97,D,0
12.29058,103.75133,347.29,0.57,0.43,2023-04-07,605,N,VIIRS,n,2,300.22,9.93,D,0
12.32215,103.95744,336.54,0.55,0.43,2023-04-07,605,N,VIIRS,n,2,301.32,7.41,D,0
12.3435,103.5292,338.93,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,299.08,7.69,D,0
12.35493,103.57085,342.9,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,298.05,3.88,D,0
12.35562,103.62197,342.37,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,298.46,5.11,D,0
12.35959,103.62106,343.89,0.39,0.44,2023-04-07,605,N,VIIRS,n,2,297.63,6.15,D,0
12.40277,103.6565,341.38,0.38,0.43,2023-04-07,605,N,VIIRS,n,2,300.73,7.47,D,0
12.41971,98.13779,334.89,0.44,0.62,2023-04-07,605,N,VIIRS,n,2,291.01,4.76,D,0
12.422,98.08778,350.26,0.44,0.62,2023-04-07,605,N,VIIRS,n,2,291.03,7.89,D,0
12.56204,104.20678,340.66,0.53,0.42,2023-04-07,605,N,VIIRS,n,2,300.58,7.77,D,0
12.56589,104.20611,347.24,0.53,0.42,2023-04-07,605,N,VIIRS,n,2,300.08,7.77,D,0
12.56774,104.53285,345.82,0.51,0.41,2023-04-07,605,N,VIIRS,n,2,300.5,13.77,D,0
12.57972,104.83291,333.73,0.49,0.4,2023-04-07,605,N,VIIRS,l,2,299.86,6.45,D,0
12.57978,104.6738,335.05,0.5,0.41,2023-04-07,605,N,VIIRS,n,2,301.83,11.43,D,0
12.58055,104.67838,367,0.5,0.41,2023-04-07,605,N,VIIRS,h,2,303.93,11.43,D,0
12.65437,105.12057,339.77,0.47,0.4,2023-04-07,605,N,VIIRS,l,2,302.37,7.58,D,0
12.70219,104.68717,337.22,0.5,0.41,2023-04-07,605,N,VIIRS,l,2,300.06,5.72,D,0
12.7203,104.1054,333.07,0.54,0.42,2023-04-07,605,N,VIIRS,n,2,299.06,3.31,D,0
12.72387,104.07943,337.57,0.54,0.42,2023-04-07,605,N,VIIRS,n,2,297.27,5.25,D,0
