latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
10.37389,98.66319,332.39,0.34,0.56,2022-08-15,609,N,VIIRS,n,2,280.54,2.08,D,0
13.49205,99.84446,331.12,0.5,0.49,2022-08-15,610,N,VIIRS,n,2,290.43,4.53,D,0
13.831,101.02592,331.52,0.41,0.45,2022-08-15,610,N,VIIRS,n,2,290.3,2.79,D,0
13.83249,101.02538,335.34,0.41,0.45,2022-08-15,610,N,VIIRS,n,2,289.69,4.33,D,0
14.41578,100.19091,335.16,0.46,0.47,2022-08-15,610,N,VIIRS,n,2,276.68,4.53,D,0
14.63496,100.25471,345.74,0.45,0.47,2022-08-15,610,N,VIIRS,n,2,291.59,5.56,D,0
14.63794,100.2713,332.19,0.45,0.47,2022-08-15,610,N,VIIRS,n,2,291.26,5.14,D,0
16.27545,99.75887,332.19,0.45,0.47,2022-08-15,611,N,VIIRS,n,2,288.05,4.74,D,0
21.98058,100.77864,331.65,0.49,0.4,2022-08-15,612,N,VIIRS,n,2,300.68,5.81,D,0
21.50515,95.29343,356.6,0.35,0.56,2022-08-15,613,N,VIIRS,n,2,291.53,12.98,D,0
21.50586,95.29676,367,0.35,0.56,2022-08-15,613,N,VIIRS,h,2,290.47,14.22,D,0
22.57542,94.7729,336.52,0.36,0.57,2022-08-15,613,N,VIIRS,n,2,289.03,2.26,D,0
22.76187,95.23526,336.86,0.33,0.55,2022-08-15,613,N,VIIRS,n,2,290.72,2.97,D,0
22.7669,95.23402,331.69,0.33,0.55,2022-08-15,613,N,VIIRS,n,2,290.46,2.97,D,0
23.00804,100.31081,344.67,0.5,0.41,2022-08-15,613,N,VIIRS,n,2,294.65,8.57,D,0
24.44794,100.83705,327.71,0.45,0.39,2022-08-15,613,N,VIIRS,l,2,302.39,7.73,D,0
24.45007,100.84015,328.65,0.45,0.39,2022-08-15,613,N,VIIRS,l,2,302.56,10.24,D,0
24.69584,97.86064,327.85,0.42,0.45,2022-08-15,613,N,VIIRS,n,2,290.82,3.06,D,0
25.79831,99.10178,309.71,0.43,0.62,2022-08-16,1821,N,VIIRS,n,2,284.09,1.75,N,2
25.80453,99.09662,321.89,0.43,0.62,2022-08-16,1821,N,VIIRS,n,2,285.17,3.8,N,2
24.60413,98.713,299.84,0.44,0.63,2022-08-16,1822,N,VIIRS,n,2,283.54,0.77,N,0
24.78617,98.25171,300.17,0.48,0.64,2022-08-16,1822,N,VIIRS,n,2,284.73,1.38,N,2
16.85415,99.9959,304.3,0.59,0.53,2022-08-16,1824,N,VIIRS,n,2,286.54,1.1,N,0
27.46839,95.42296,313.54,0.35,0.57,2022-08-16,2001,N,VIIRS,n,2,283.71,1.71,N,2
27.46922,95.41943,299.67,0.35,0.57,2022-08-16,2001,N,VIIRS,n,2,283.92,1.91,N,2
25.7952,99.10452,296.08,0.64,0.72,2022-08-16,2002,N,VIIRS,n,2,281.21,2.62,N,2
25.80431,99.09667,308.24,0.64,0.72,2022-08-16,2002,N,VIIRS,n,2,281.48,5.93,N,2
26.78615,94.67254,302.76,0.33,0.55,2022-08-16,2002,N,VIIRS,n,2,287.39,1,N,2
26.79315,94.68863,303.9,0.33,0.55,2022-08-16,2002,N,VIIRS,n,2,287.2,1.05,N,2
14.82244,100.21383,337.69,0.39,0.59,2022-08-17,713,N,VIIRS,n,2,286.99,5.61,D,0
14.83128,100.24265,328.28,0.39,0.59,2022-08-17,713,N,VIIRS,n,2,284.98,2.18,D,0
16.93521,100.39963,328.51,0.42,0.61,2022-08-17,714,N,VIIRS,n,2,285.68,2.59,D,0
16.93562,100.40364,334.16,0.42,0.61,2022-08-17,714,N,VIIRS,n,2,285.47,4.45,D,0
21.547,95.29168,345.64,0.45,0.47,2022-08-17,715,N,VIIRS,n,2,295.08,22.22,D,0
21.548,95.29212,343.51,0.45,0.47,2022-08-17,715,N,VIIRS,n,2,296.67,21.87,D,0
21.55133,95.29112,344.87,0.45,0.47,2022-08-17,715,N,VIIRS,n,2,298.02,22.22,D,0
21.55185,95.28714,344.54,0.45,0.47,2022-08-17,715,N,VIIRS,n,2,297,39.19,D,0
21.55234,95.29156,341.59,0.45,0.47,2022-08-17,715,N,VIIRS,n,2,296.81,21.87,D,0
23.98022,95.8186,343.94,0.52,0.5,2022-08-17,716,N,VIIRS,n,2,292.57,9.38,D,0
24.61282,99.71868,300.02,0.38,0.59,2022-08-17,1943,N,VIIRS,n,2,282.52,1.48,N,0
25.7949,99.10063,302.87,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,283.73,0.63,N,0
25.79671,99.10435,297.2,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,282.83,0.96,N,2
25.79733,99.10156,312.48,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,286.1,0.96,N,2
25.79929,99.10472,295.93,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,283.2,0.63,N,2
25.79989,99.10206,302.15,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,284.16,0.63,N,2
25.80359,99.09737,332.32,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,284.8,1.73,N,2
25.80618,99.09787,332.48,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,285.49,2.75,N,2
25.80864,99.0985,300.48,0.33,0.55,2022-08-17,1943,N,VIIRS,n,2,283.63,1.73,N,2
9.0253,99.3337,331.29,0.44,0.39,2022-08-18,653,N,VIIRS,n,2,296.56,1.38,D,0
9.31642,99.70913,345.89,0.46,0.39,2022-08-18,653,N,VIIRS,n,2,298.25,6.27,D,0
12.74355,99.92561,337.53,0.52,0.41,2022-08-18,654,N,VIIRS,n,2,294.94,6.6,D,0
13.99524,100.45762,347.67,0.38,0.44,2022-08-18,654,N,VIIRS,n,2,293.1,4.84,D,0
14.30381,100.44648,343.63,0.39,0.44,2022-08-18,654,N,VIIRS,n,2,292.88,3.28,D,0
14.83502,100.13046,331.68,0.57,0.43,2022-08-18,654,N,VIIRS,n,2,286.04,1.36,D,0
14.90163,100.06612,336.95,0.56,0.43,2022-08-18,655,N,VIIRS,n,2,293.11,6.44,D,0
14.96912,100.26066,335.09,0.39,0.44,2022-08-18,655,N,VIIRS,n,2,291.58,2.92,D,0
15.00069,100.06569,334.73,0.56,0.43,2022-08-18,655,N,VIIRS,n,2,293.34,5.11,D,0
15.31332,100.52379,334.84,0.4,0.44,2022-08-18,655,N,VIIRS,n,2,290.67,3.74,D,0
15.35717,100.54903,334.67,0.41,0.45,2022-08-18,655,N,VIIRS,n,2,287.13,3.04,D,0
15.35765,100.55283,330.62,0.41,0.45,2022-08-18,655,N,VIIRS,n,2,289.04,6.21,D,0
15.37191,100.50099,330.88,0.4,0.44,2022-08-18,655,N,VIIRS,n,2,289.74,4.76,D,0
15.45347,100.08575,330.63,0.57,0.43,2022-08-18,655,N,VIIRS,n,2,286.65,2.72,D,0
15.82493,100.85632,331.06,0.43,0.46,2022-08-18,655,N,VIIRS,n,2,292.52,3.87,D,0
16.08914,100.05144,339.61,0.39,0.44,2022-08-18,655,N,VIIRS,n,2,289.55,7.08,D,0
18.92502,100.26087,336.36,0.43,0.46,2022-08-18,656,N,VIIRS,n,2,290.31,3.37,D,0
