province_key,province_name_th,province_name_en,location_id,location_name,sensor_id,sensor_name,latitude,longitude,analysis_date,pm25_ugm3,percent_coverage,primary_analysis_eligible,source
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-08,24.3,46.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-09,20.0,4.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-10,8.0,13.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-11,8.27,63.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-12,9.8,63.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-13,9.72,75.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-14,6.94,71.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-15,7.46,54.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-16,9.0,25.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-17,8.0,4.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-18,8.63,33.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-19,13.4,58.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-20,14.9,83.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-21,18.7,83.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-22,21.1,58.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-23,16.4,75.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-24,17.4,67.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-25,17.0,17.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-26,10.0,63.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-27,8.08,50.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-28,9.19,67.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-29,10.1,75.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-06-30,11.8,17.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-01,11.3,13.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-02,9.0,42.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-03,9.11,75.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-04,12.7,75.0,True,OpenAQ API v3 / sensors/1304055/days
